                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.2633,                0.93973,                 1.1508,                0.91793,                0.84291,                0.89448,                0.59699,                 1.2676,                 1.0167,                 1.2157,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2641,                0.91477,                 1.1227,                0.91398,                0.84774,                0.89283,                0.60869,                   1.27,                 1.0169,                 1.2152,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.2277,                0.88307,                 1.1301,                0.92595,                0.82601,                0.88911,                 0.5974,                 1.2689,                  1.019,                 1.2034,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.2706,                0.92402,                 1.1326,                0.89902,                0.83325,                0.88442,                0.59608,                 1.2502,                0.98854,                 1.1822,             0.00079238,             0.00079238,             0.00079238
                     48,                  1.242,                0.90955,                 1.1274,                0.89657,                0.86677,                0.90826,                0.61077,                 1.2039,                0.95617,                 1.1537,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.2417,                0.86232,                 1.1138,                 0.8748,                0.87184,                0.90983,                0.61302,                 1.2136,                0.94658,                 1.1573,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2434,                0.87731,                 1.1433,                0.89333,                0.86677,                0.91577,                0.61329,                 1.2261,                0.93453,                 1.1577,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.2753,                0.91874,                 1.1378,                0.88402,                0.86525,                0.91131,                0.61308,                 1.1889,                0.92279,                 1.1348,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.1866,                0.85504,                 1.0985,                 0.9045,                0.87677,                 0.9216,                0.62566,                 1.1699,                0.89271,                  1.125,             0.00072164,             0.00072164,             0.00072164
                     53,                  1.137,                 0.8517,                 1.0856,                0.90833,                0.88836,                0.92238,                0.63192,                 1.1585,                0.87465,                  1.129,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.1866,                0.84835,                 1.1321,                0.90859,                0.86218,                0.91293,                0.61096,                 1.1851,                0.90089,                 1.1493,             0.00069335,             0.00069335,             0.00069335
                     55,                  1.276,                0.87803,                 1.1527,                0.91325,                0.86822,                0.92298,                0.62577,                 1.1705,                0.87596,                 1.1492,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.1574,                0.81614,                 1.0991,                0.90839,                0.86843,                0.91999,                0.62026,                 1.1836,                 0.8895,                 1.1462,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.2006,                0.84776,                 1.1101,                0.90425,                0.86289,                0.91566,                0.60961,                 1.1921,                0.90739,                 1.1475,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.2104,                0.87939,                 1.1157,                0.93483,                 0.8545,                0.91643,                0.61313,                   1.21,                0.91069,                 1.1457,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.2141,                0.85938,                 1.1145,                0.93612,                0.86905,                0.92753,                0.63745,                 1.1507,                0.88667,                 1.1207,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.1962,                 0.8601,                 1.1071,                0.94023,                0.86532,                0.93188,                0.64701,                 1.1387,                0.87335,                 1.1166,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.1599,                0.85127,                  1.109,                0.92735,                0.86845,                0.93152,                0.64304,                  1.149,                0.87209,                 1.1284,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.2107,                0.85372,                 1.0941,                0.92163,                0.88706,                0.92987,                0.63278,                 1.1476,                0.84411,                 1.1307,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.1614,                0.84902,                 1.1154,                0.93384,                0.88966,                 0.9372,                0.64404,                 1.1072,                0.82202,                 1.1223,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.1738,                0.82834,                 1.0913,                0.94097,                0.87996,                0.93621,                0.65546,                 1.0936,                0.82042,                 1.1156,             0.00055188,             0.00055188,             0.00055188
                     65,                  1.172,                0.82646,                 1.0937,                 0.9354,                0.87682,                0.93435,                 0.6565,                 1.0941,                0.83183,                 1.1131,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.1816,                0.87388,                  1.119,                0.94633,                0.87955,                0.93164,                0.64558,                 1.1127,                0.84294,                 1.1194,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.1487,                0.82602,                 1.0889,                0.93987,                 0.8752,                0.92668,                0.64895,                  1.103,                0.83797,                   1.12,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.1225,                 0.7854,                 1.0677,                0.92371,                0.90192,                0.92577,                0.65644,                 1.0797,                0.82655,                  1.115,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.1373,                0.79067,                 1.0652,                0.91456,                0.89431,                0.92767,                0.64963,                 1.0916,                0.82715,                 1.1162,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.1716,                0.82943,                 1.1035,                0.90818,                0.89252,                0.92764,                0.65137,                 1.1117,                0.83303,                 1.1242,               0.000467,               0.000467,               0.000467
                     71,                 1.1377,                0.79328,                 1.0674,                0.93333,                0.89993,                0.93963,                 0.6656,                 1.0703,                0.78826,                 1.1013,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.1448,                0.79029,                 1.0932,                0.93767,                0.89301,                0.94184,                0.66531,                 1.0999,                0.77628,                 1.1039,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.1078,                0.77983,                 1.0725,                0.94507,                0.90493,                0.94821,                0.66861,                 1.1009,                0.77743,                 1.1108,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.1216,                0.81208,                 1.1051,                0.94516,                  0.903,                0.94715,                0.67732,                 1.0672,                0.77471,                 1.0915,             0.00041041,             0.00041041,             0.00041041
                     75,                  1.164,                0.80929,                 1.0846,                 0.9432,                0.90659,                  0.946,                0.67961,                 1.0543,                0.76528,                 1.0857,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.0981,                0.79519,                 1.0695,                0.95672,                0.89951,                0.94695,                0.68153,                  1.041,                0.76171,                 1.0898,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.0639,                0.76199,                 1.0448,                0.94785,                0.90107,                0.94435,                0.68009,                 1.0522,                0.76784,                 1.1005,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.1351,                0.81713,                  1.085,                0.93413,                0.89293,                  0.937,                0.67366,                 1.0374,                0.77546,                   1.09,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.1204,                0.76744,                  1.069,                0.94293,                0.90145,                0.94626,                0.68742,                0.98143,                0.74302,                 1.0669,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.0514,                0.74622,                 1.0451,                0.95194,                0.91669,                0.95411,                0.69132,                0.98445,                0.72844,                 1.0702,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.0509,                0.74401,                 1.0481,                0.95678,                0.92269,                0.95756,                0.69133,                0.97706,                0.71659,                 1.0632,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.0943,                0.77453,                 1.0535,                0.94897,                 0.9245,                0.95347,                0.68849,                  1.003,                0.72014,                  1.067,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.0983,                0.75343,                 1.0682,                0.94745,                0.91813,                0.95322,                0.69247,                 1.0032,                0.72097,                  1.068,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.0537,                0.75147,                 1.0569,                0.95587,                0.92449,                0.95628,                0.69973,                 0.9793,                0.71958,                 1.0648,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.0563,                 0.7465,                 1.0425,                0.96404,                0.92272,                0.95711,                0.71052,                0.96696,                0.71963,                 1.0571,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.0475,                0.74112,                 1.0522,                0.95689,                0.92835,                0.95859,                0.71035,                0.96274,                0.71445,                  1.051,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.0626,                0.73302,                 1.0474,                0.94891,                0.91943,                0.95645,                0.71297,                0.94711,                 0.6959,                 1.0419,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.0866,                0.75301,                 1.0565,                0.95663,                0.90525,                 0.9554,                0.70818,                0.95633,                0.69351,                 1.0425,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.0473,                0.76272,                 1.0417,                0.96695,                0.90719,                0.95709,                0.71003,                0.96017,                0.69025,                 1.0418,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.1313,                0.77776,                 1.0832,                0.96058,                0.91136,                0.95839,                0.71128,                0.95695,                0.68458,                 1.0417,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.0782,                0.96217,                 1.0518,                0.96227,                0.91073,                0.95802,                0.71258,                0.94766,                 0.6796,                 1.0385,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.0648,                0.87869,                 1.0486,                0.95237,                0.90412,                0.95415,                0.71098,                0.95446,                0.70499,                  1.044,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.0431,                0.83227,                 1.0362,                0.95047,                0.90992,                  0.953,                0.70578,                0.97203,                0.72931,                 1.0531,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.0586,                 0.8326,                 1.0428,                0.93998,                0.91136,                0.95023,                0.69893,                0.96656,                0.77087,                 1.0526,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.0411,                0.88866,                 1.0404,                0.93702,                0.92006,                0.95577,                0.70229,                0.96505,                0.78693,                 1.0506,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.0095,                0.81399,                 1.0371,                0.95047,                0.92384,                  0.959,                0.71367,                0.94728,                 0.7607,                 1.0396,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.0742,                0.79786,                  1.056,                0.94782,                0.92304,                0.95917,                 0.7144,                0.93605,                0.74646,                 1.0355,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.99687,                0.75541,                 1.0032,                0.95176,                0.91281,                0.95861,                0.71264,                0.92634,                0.72474,                 1.0303,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.0395,                0.80357,                 1.0481,                0.96358,                0.90292,                0.95764,                0.71417,                0.91876,                0.71067,                 1.0264,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.0027,                0.76472,                 1.0348,                0.96933,                0.90063,                0.95828,                0.71289,                0.91454,                0.70343,                 1.0255,             4.2584e-05,             4.2584e-05,             4.2584e-05
